Name,Position,Bye,Value,PTS,PTSespn,PTSmax,minRank,PTSmax_std,minRank_std,Sum_std,Team,Rank,Tier,PosRank,AvgRank,BestRank,WorstRank,RankStdDev,ADP,vsADP,PassYDS,PassTDS,REC,RecYDS,RecTDS,ATT,RushYDS,RushTDS
PatrickMahomes,QB,12,100,26.1,27.444,27.444,12,4.091075454,1.810605916,5.90168137,KC,34,4,1,35.1,13,65,9.2,12,-22,318.6,3.1,0,0,0,3.8,17,0.1
SaquonBarkley,RB,11,94.65949905,18.4,24.38,24.38,1,3.521549808,1.904828457,5.426378265,NYG,1,1,1,1.6,1,6,0.9,1,0,0,0,5.7,45.1,0.3,16.3,81.7,0.7
ToddGurley,RB,9,89.56181625,22.4,22.08,22.4,11,3.153514305,1.819171601,4.972685906,LAR,18,3,11,16.7,2,64,9.4,11,-7,0,0,4.2,41.4,0.3,18.3,89.4,1.2
DeshaunWatson,QB,10,86.14018512,20.7,22.052,22.052,39,3.088829277,1.579332407,4.668161684,HOU,49,5,2,52.6,26,83,8.7,39,-10,260.3,1.6,0,0,0,6.2,34.4,0.3
MattRyan,QB,9,86.09862106,22.1,23.092,23.092,62,3.282140854,1.38232164,4.664462494,ATL,70,6,5,73.8,25,121,14.9,62,-8,307.8,2.2,0,0,0,2.1,7.8,0.2
BenRoethlisberger,QB,7,82.41646126,21.3,23.034,23.034,99,3.271360016,1.065391275,4.336751291,PIT,107,7,14,111.8,64,168,19.4,99,-8,320.6,2.1,0,0,0,1.9,6.1,0.2
AlvinKamara,RB,9,81.65628379,18.2,17.82,18.2,2,2.372832936,1.896262771,4.269095707,NO,2,1,2,2.6,1,11,1,2,0,0,0,5.4,47.3,0.3,12.9,58.9,0.9
CamNewton,QB,7,81.35826226,20.2,21.79,21.79,83,3.04012963,1.202442244,4.242571874,CAR,83,7,7,84.6,32,149,14.4,89,6,242.5,1.7,0,0,0,7.2,34.9,0.3
AaronRodgers,QB,11,80.63350031,19.5,19.784,19.784,47,2.667261338,1.510806923,4.178068261,GB,55,5,3,59.2,32,92,9.9,47,-8,277.6,1.6,0,0,0,2.7,16.8,0.1
DrewBrees,QB,9,80.56200656,20.3,20.994,20.994,74,2.892171923,1.279533413,4.171705336,NO,92,7,9,95.6,32,164,16.2,74,-18,266.1,2.1,0,0,0,2.1,1.5,0.3
JaredGoff,QB,9,79.99707385,19.4,21,21,80,2.893287182,1.2281393,4.121426482,LAR,94,7,10,96.9,56,230,14.7,80,-14,293,2,0,0,0,2.7,6.8,0.1
ChristianMcCaffrey,RB,7,79.91810767,17.4,17.08,17.4,2.7,2.224131723,1.890266791,4.114398514,CAR,3,1,3,2.7,1,12,1.2,3,0,0,0,6.7,54.2,0.4,13.7,68.6,0.4
MelvinGordon,RB,12,79.54084931,18.8,18.06,18.8,37,2.484358846,1.596463778,4.080822624,LAC,44,5,23,44,5,146,18.5,37,-7,0,0,4.2,40.8,0.3,14.6,73.8,0.8
JamesConner,RB,7,79.29540799,17.3,17.3,17.3,7,2.205544071,1.853434343,4.058978414,PIT,8,2,7,9.4,2,57,5.5,7,-1,0,0,4.2,38.2,0.1,16.5,74.8,0.9
EzekielElliott,RB,8,78.85316252,16.8,16.95,16.95,4,2.14048729,1.8791314,4.01961869,DAL,6,2,6,7.7,1,67,8.3,4,-2,0,0,5.1,37.8,0.2,20.3,95.7,0.4
BakerMayfield,QB,7,78.41795673,17.1,19.184,19.184,57,2.555735428,1.425150067,3.980885495,CLE,68,6,4,70.3,47,120,11.4,57,-11,266.1,1.9,0,0,0,2.8,9.4,0
JameisWinston,QB,7,77.90963649,17.8,20.83,20.83,98,2.861688174,1.073956961,3.935645135,TB,98,7,11,99.8,50,147,16.3,101,3,272,1.7,0,0,0,4.5,25.5,0.1
CarsonWentz,QB,10,77.61703948,17.5,19.63,19.63,75,2.638636354,1.270967728,3.909604082,PHI,78,6,6,82.5,54,161,14.8,75,-3,279.5,1.9,0,0,0,3.1,8.5,0
RussellWilson,QB,11,77.33196668,18.7,19.77,19.77,81,2.664659067,1.219573615,3.884232682,SEA,86,7,8,87.5,42,138,16.8,81,-5,215.5,2.2,0,0,0,4.2,23.5,0
TyreekHill,WR,12,74.93322484,15.1,15.58,15.58,15,1.885836463,1.784908859,3.670745322,KC,16,2,5,15.4,7,27,4.5,15,-1,0,0,5.4,92.4,0.8,1.4,9.4,0.1
MitchTrubisky,QB,6,74.32161543,18.8,20.218,20.218,122,2.747931746,0.868380508,3.616312254,CHI,122,8,18,132.5,64,215,24.5,143,21,230.2,1.7,0,0,0,4.9,30.1,0.2
DakPrescott,QB,8,74.23179293,17.9,19.622,19.622,110,2.637149342,0.971168735,3.608318077,DAL,110,7,15,113.3,59,225,19.7,121,11,242.8,1.4,0,0,0,4.7,19.1,0.4
DavanteAdams,WR,11,73.54749229,14.6,14.64,14.64,9,1.711112537,1.836302972,3.547415509,GB,9,2,2,10.3,4,24,2.8,9,0,0,0,7.4,92.4,0.9,0,0,0
